,AP,BI,CPInv,CPRet,CRNInv,CRNRet,ComRend,InDispInv,InDispRet,InVencInv,InVencRet,Life,MontoInv,MontoMuerte,MontoRet,NumPartInv,NumPartMuertos,NumPartVol,NumRetMuertos,PT,PagoAntInv,PagoAntRet,PagoPrimPensionInv,PagoPrimPensionRet,R0Inv,R0Ret,VLR,VMI,VMR,VRCI,Year
0,296400521.356,16589838.4204,1.75515211387e-08,2.40111396687e-06,0.0,0.0,253861.118531,49198786.8793,99032893.4106,0.0,0.0,1.0,50707355.7778,2184174.28289,102196459.886,4.0,7.0,424.0,0.0,351674561.547,0.0,0.0,1508568.89851,3163566.47502,0.0,0.0,91835409.4789,0.0,0.0,16589838.4204,0.0
0,238606447.723,13404025.3633,2.10874339042e-08,3.65000373261e-31,0.0,0.0,389117.394731,6005266.14554,158506946.61,3299243.23872,6820767.51923,1.0,6177835.80524,990454.730761,163652134.787,2.0,2.0,331.0,1.0,283157834.928,1546886.54853,3242820.91188,172569.659704,5145188.17664,1752356.69019,3577946.60735,142482962.856,5124424056.25,102196459.886,13404025.3633,1.0
0,190617142.046,10793125.123,3.71666637472e-07,3.56997689441e-30,0.0,0.0,442471.493708,6587089.08796,199111901.197,2718277.33251,9594408.65155,1.0,6771785.59854,912244.815412,205624062.312,1.0,2.0,249.0,2.0,226303670.977,1763130.39592,8563702.75722,184696.510581,6512161.11492,955146.936588,1030705.89433,175198891.663,9229026410.56,266386398.624,10793125.123,2.0
0,149525515.498,8586291.42464,6.74984313048e-08,2.66483781227e-30,0.0,811161.461489,429015.619601,23612593.0339,178947228.269,2727513.30458,14616817.1064,1.0,24351909.3128,0.0,184835245.978,1.0,0.0,191.0,4.0,177653715.643,1997301.70993,15427978.5679,739316.27886,5888017.7087,730211.594653,0.0,172123178.959,12750956423.7,472188282.863,8586291.42464,3.0
0,110865290.943,6394274.85806,90013.7024063,4.41655645726e-30,0.0,0.0,399958.851278,0.0,108388686.275,4596356.61217,21899482.5956,1.0,0.0,183692.932464,111899989.769,0.0,1.0,108.0,5.0,131752321.124,2806128.0857,21734989.3807,0.0,3511303.49471,1790228.52647,164493.214908,148485769.993,15185798650.3,658420529.489,6394274.85806,4.0
0,138100163.517,8161801.01015,2.62670948462e-06,1.14754296104e-30,0.0,1474083.67523,454215.565192,1953368.8086,182686056.239,3823896.17018,24363052.885,1.0,2012190.84769,353357.752947,188488208.049,1.0,2.0,132.0,4.0,164339285.985,2877403.73908,25837136.5602,58822.0390933,5802151.8102,946492.431104,0.0,168831656.41,16419240629.8,769620783.604,8161801.01015,5.0
0,162199698.823,9765993.91324,1.2433780278e-08,6.67426660066e-30,0.0,0.0,467708.930082,57150262.6987,150730270.601,3842519.50261,32361276.6882,1.0,58727103.1683,72259.6296609,155462766.671,1.0,1.0,109.0,6.0,193219879.479,3010805.91294,32233455.0083,1576840.46958,4732496.06993,831713.589676,127821.679924,160379219.821,18393162611.2,959887199.473,9765993.91324,6.0
0,191453539.179,11605921.3416,183493.253647,3.85623542877e-30,0.0,0.0,535862.716198,0.0,172938226.072,8104183.23292,40509464.7217,1.0,0.0,193909.298726,178279065.672,0.0,2.0,127.0,3.0,228156697.214,4704172.60064,37836225.7075,0.0,5340839.59989,3400010.63228,2673239.01416,174138381.601,20314066621.3,1113803280.41,11605921.3416,7.0
0,210343236.298,12757007.2913,1.02469744165e-28,4.7217594552e-30,0.0,15383611.7947,605997.709389,111808334.89,222025774.311,6527171.66895,28796501.8576,1.0,115175233.254,0.0,228849116.975,1.0,0.0,136.0,7.0,250674430.999,4823658.58469,44180113.6523,3366898.36395,6823342.66438,1703513.08426,0.0,185598377.281,22514370417.0,1294575096.19,12757007.2913,8.0
0,222816969.923,13524735.7542,299801.351394,1.1797968384e-29,0.0,0.0,649276.886082,0.0,200820828.974,9641574.97376,116678453.397,1.0,0.0,0.0,206995406.017,0.0,0.0,155.0,8.0,265552478.288,8398597.09514,51938002.558,0.0,6174577.0437,1242977.87862,64740450.839,200744835.522,25240156875.2,1525182222.16,13524735.7542,9.0
