,AP,BI,CPInv,CPRet,CRNInv,CRNRet,ComRend,InDispInv,InDispRet,InVencInv,InVencRet,Life,MontoInv,MontoMuerte,MontoRet,NumPartInv,NumPartMuertos,NumPartVol,NumRetMuertos,PT,PagoAntInv,PagoAntRet,PagoPrimPensionInv,PagoPrimPensionRet,R0Inv,R0Ret,VLR,VMI,VMR,VRCI,Year
0,296400521.356,16589838.4204,-2.37366872274e-15,2.96726006313e-06,0.0,0.0,253861.118531,0.0,101290300.365,0.0,0.0,2.0,0.0,403901.419615,104513016.575,0.0,2.0,419.0,0.0,351674561.547,0.0,0.0,0.0,3222716.21012,0.0,0.0,91835409.4789,0.0,0.0,16589838.4204,0.0
0,238756832.131,13400330.4492,6.04924493397e-11,7.55835606903e-31,9.165006753e-16,0.0,388786.879597,1777851.14273,157337153.012,-9.165006753e-16,6896547.60719,2.0,1843925.80099,468893.337644,162369426.018,1.0,2.0,317.0,1.0,283322654.584,0.0,3300704.5087,66074.6582573,5032273.0059,0.0,3595843.09849,143474430.946,5260019720.73,104513016.575,13400330.4492,1.0
0,190936342.985,10730066.8714,-2.61516540537e-11,7.44724762515e-30,0.0,0.0,443933.26656,2293892.70809,181924488.666,202931.681524,9623416.91879,2.0,2364344.88698,2767408.68224,188027190.462,1.0,2.0,263.0,1.0,226591471.749,67752.954577,8532059.88531,70452.1788848,6102701.79605,135178.726947,1091357.03348,183978008.382,9398891927.34,267344732.71,10730066.8714,2.0
0,153769711.973,8796065.90071,2.44981001054e-09,1.45911211312e-30,0.0,803646.433756,447711.779169,24975694.5935,182233641.84,298211.498163,14198599.0868,2.0,25824183.8638,0.0,188283276.534,1.0,0.0,178.0,1.0,182658177.386,141715.543852,15002245.5206,848489.270274,6049634.69414,156495.954311,0.0,182020161.361,12557715262.1,456469488.997,8796065.90071,3.0
0,112160145.574,6440105.69176,5.17541138262e-09,3.24167107811e-30,0.0,0.0,418305.495536,5187222.85609,167740168.586,2095351.27363,21572701.045,2.0,5356390.06208,719210.85006,173219808.484,1.0,1.0,116.0,2.0,133258709.287,1015356.0164,21540047.0125,169167.205984,5479639.89796,1079995.25722,32654.0324358,155779536.555,15180009020.0,646801542.231,6440105.69176,4.0
0,137519930.323,8208263.6661,35068.542963,1.13772924586e-27,0.0,1463962.53295,420554.087929,0.0,140891729.07,1847111.60852,26098493.8491,2.0,0.0,148043.045688,145265229.839,0.0,1.0,133.0,5.0,163739543.808,1214610.11224,27562456.3821,0.0,4373500.7695,632501.496284,0.0,147941094.636,16993646806.5,821496142.994,8208263.6661,5.0
0,164560722.35,9924705.05845,11181.8423187,1.13596020355e-21,0.0,52305.4452351,470574.069586,0.0,177580998.553,1530939.22038,32671631.4015,2.0,0.0,0.0,183108863.147,0.0,0.0,149.0,4.0,196051042.032,1245461.20909,32723936.8467,0.0,5527864.59369,285478.011295,0.0,165976671.782,18841729493.5,966545546.656,9924705.05845,6.0
0,180862625.737,10973393.6975,4035.98286506,4.62060208222e-30,0.0,2037880.90306,506269.559713,0.0,216298322.649,1423763.0394,36991199.6848,2.0,0.0,0.0,222894842.682,0.0,0.0,153.0,6.0,215546089.253,1277095.9238,39029080.5879,0.0,6596520.03311,146667.115605,0.0,161769715.78,21501498655.5,1152888649.14,10973393.6975,7.0
0,188455449.634,11459322.8489,13492.0067102,3.27104596573e-30,0.0,470224.565257,517245.879028,0.0,179258718.571,1532598.16818,46145618.9836,2.0,0.0,1904684.21807,184684415.186,0.0,2.0,142.0,7.0,224623339.869,1309534.16026,46615843.5489,0.0,5425696.61556,223064.007912,0.0,158608798.442,24193875240.6,1374251889.12,11459322.8489,8.0
0,190060475.025,11525138.2445,1.38694723907e-07,8.26617442946e-29,0.0,0.0,561569.499095,7488851.39946,150973937.096,1675947.68312,58649961.9798,2.0,7700125.12376,0.0,155540608.04,2.0,0.0,145.0,2.0,226500689.067,1342796.32793,53321746.0585,211273.724303,4566670.94441,333151.355183,5328215.92126,173681358.12,26958978167.1,1558825564.86,11525138.2445,9.0
0,203089128.705,12269816.9872,1.98533885806e-08,7.02140851809e-30,0.0,46133288.2585,647187.698556,60798104.7338,210946203.0,2205051.52875,12938200.1178,2.0,62487832.3397,1351077.30319,217439659.6,4.0,3.0,139.0,11.0,241976343.474,1593543.43156,59071488.3763,1689727.60583,6493456.6005,611508.097182,0.0,209704596.754,29264705844.6,1718832877.71,12269816.9872,10.0
0,207684808.866,12527715.6129,1.75375569185e-10,2.93817440592e-22,0.0,0.0,689414.156034,22302305.1122,253931510.093,6355875.23346,280612070.993,2.0,22918888.9831,3627378.00941,261488068.663,2.0,2.0,162.0,10.0,247429802.786,3366666.12174,67095348.1016,616583.870904,7556558.56972,2989209.11172,213516722.891,214578591.121,31714124237.4,1935140395.45,12527715.6129,11.0
0,204684660.031,12332636.2815,131635.071378,2.49735660101e-29,0.0,45728972.1248,692770.590262,0.0,282998763.251,6352451.70747,30659147.2657,2.0,0.0,53257.1301258,291717446.429,0.0,1.0,171.0,9.0,243839658.778,4084424.54246,76388119.3904,0.0,8718683.17724,2268027.16501,0.0,225606585.366,35064292150.9,2199227599.07,12332636.2815,12.0
0,198013153.076,11934584.3233,66048.0061125,1.44994824449e-29,0.0,0.0,667851.642963,0.0,220455813.918,5283003.10599,185191317.391,2.0,0.0,678676.982547,227042080.149,0.0,1.0,164.0,7.0,235896334.157,4188168.92584,87200166.0308,0.0,6586266.23008,1094834.18015,97991151.3606,211302975.681,38270837905.5,2494191516.68,11934584.3233,13.0
0,192455067.028,11554250.2859,58172.8551828,1.4425441825e-29,0.0,49845928.4784,691037.69588,0.0,207778483.578,5282081.77063,46181562.5346,2.0,0.0,183360.005324,214143422.363,0.0,1.0,134.0,8.0,229223952.038,4294548.41656,96027491.013,0.0,6364938.78442,987533.35407,0.0,229435467.467,41342761560.7,2727709334.46,11554250.2859,14.0
0,200112492.469,11997239.9513,2.86581527745e-31,2.59551846975e-29,0.0,0.0,734107.426729,18384042.29,208854101.889,5310672.88407,213549533.81,2.0,18921814.0397,2710185.01346,215176935.264,2.0,3.0,151.0,12.0,238325542.046,4403629.94634,104706147.716,537771.749723,6322833.3756,907042.937732,108843386.094,250561215.671,43692425021.9,2946001951.36,11997239.9513,15.0
0,213028733.738,12764304.9002,8.02341732852e-31,3.4091628158e-20,0.0,54787844.8447,788633.447576,4361768.15052,255334610.661,6039150.15207,58940116.0488,2.0,4482114.27342,0.0,263117927.686,1.0,0.0,158.0,10.0,253700043.414,5066913.29914,113727960.894,120346.122903,7783317.02504,972236.852928,0.0,270265829.443,46225174322.3,3161593106.29,12764304.9002,16.0
0,222894738.32,13365020.5095,1.29178639053e-30,86520769.5166,0.0,0.0,817229.224137,25658568.1079,244902654.869,5760589.54747,519768139.346,2.0,26402983.4761,248750.622512,252409368.949,1.0,1.0,147.0,15.0,265460403.179,5319015.81136,124202036.802,744415.368233,7506714.08089,441573.736108,395566102.544,287229985.413,49342061570.3,3430144288.3,13365020.5095,17.0
