,AP,BI,CPInv,CPRet,CRNInv,CRNRet,ComRend,InDispInv,InDispRet,InVencInv,InVencRet,Life,MontoInv,MontoMuerte,MontoRet,MontoRetInv,MontoRetMuerte,MontoRetVol,NumPartInv,NumPartMuertos,NumPartRet,NumPartVol,NumRetMuertos,PT,PagoAntInv,PagoAntRet,PagoPrimPenInv,PagoPrimPenRet,PagoPrimPensionInv,PagoPrimPensionRet,R0Inv,R0Ret,VLR,VMI,VMR,VRCI,Year
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,337855972.806,21283432.7052,4.99148074158e-10,2.57911957205e-07,1420.71309501,1663.28179942,289396.003909,4749844.72622,60917323.4117,0.0,0.0,1.0,4880898.32134,1042759.03491,62598135.6499,0.0,0.0,0.0,1.0,8.0,0.0,275.0,3.0,403527421.923,1420.71309501,1663.28179942,0.0,0.0,131053.595117,1680812.23814,0.0,0.0,57383611.1459,23558.0659866,80033.694021,21283432.7052,0.0
0,351184410.411,21850152.7268,6.3903478126e-07,1.46217293675e-31,0.0,0.0,558806.609484,21313623.6874,121097816.261,409151.133071,4021628.27394,1.0,21911240.0047,5658737.26496,124488991.977,0.0,0.0,0.0,4.0,4.0,0.0,315.0,0.0,419139958.582,135839.15564,1725210.39814,0.0,0.0,597616.317364,3391175.71651,273311.977431,2296417.8758,118318060.863,3597624381.57,62615147.9705,21850152.7268,1.0
0,365739300.605,22513191.7787,5.47100652657e-08,4.75400236072e-30,0.0,0.0,805259.045887,1678670.06555,184155641.224,1546227.05251,5754632.39227,1.0,1726524.4452,5897149.93153,189388606.975,0.0,0.0,0.0,1.0,4.0,0.0,317.0,2.0,436238755.487,752085.242019,5245003.57871,0.0,0.0,47854.3796479,5232965.75055,794141.810491,509628.813564,187228252.02,7418154837.54,187695777.877,22513191.7787,2.0
0,377959970.799,23056482.2515,2.70209517106e-07,7.31093676154e-30,0.0,560578.720208,1026091.09924,30369793.6558,263650719.01,1000115.53934,10179039.6692,1.0,31223870.5647,418904.348536,271250862.564,0.0,0.0,0.0,4.0,2.0,0.0,325.0,2.0,450580284.326,820258.088057,10739618.3894,0.0,0.0,854076.908914,7600143.55431,179857.451284,0.0,260485556.081,11513707863.4,378774924.549,23056482.2515,3.0
0,382396177.722,23145295.8719,74748.1018171,2.67980916257e-30,0.0,123015.280851,1202955.38989,0.0,371942360.684,3138537.62257,18679821.1901,1.0,0.0,153838.119941,382829316.202,0.0,0.0,0.0,0.0,1.0,0.0,356.0,1.0,455664577.072,1716863.10589,18802836.471,0.0,0.0,0.0,10886955.5186,1421674.51667,0.0,338991333.69,16156681130.1,652953537.119,23145295.8719,4.0
0,379417203.314,22845735.0372,7.15195712274e-08,1.73766230684e-30,0.0,1092977.44689,1296069.71244,10471828.6816,409124142.653,2399466.64892,29254312.7397,1.0,10764428.1658,1387899.53067,421271962.404,0.0,0.0,0.0,3.0,4.0,0.0,361.0,6.0,451980829.608,1760471.42878,30347290.1866,0.0,0.0,292599.484281,12147819.751,638995.220132,0.0,404441559.037,21615179041.1,1040231346.36,22845735.0372,5.0
0,380592559.133,22850088.3702,58224.3782642,1.90654676965e-30,0.0,973617.337649,1363652.28391,0.0,446068914.338,3181141.33433,42549902.4657,1.0,0.0,8028414.0024,459413841.698,0.0,0.0,0.0,0.0,3.0,0.0,405.0,2.0,453306345.51,2105218.91426,43523519.8033,0.0,0.0,0.0,13344927.3598,1075922.42007,0.0,425850556.537,26766785702.5,1465858105.5,22850088.3702,6.0
0,384054263.92,23028953.0002,2.9474033861e-08,1.98655117111e-19,0.0,1385619.7548,1401247.30034,22612044.1716,543029488.314,2869584.24785,56876502.3062,1.0,23256652.8822,1000113.1768,559476274.848,0.0,0.0,0.0,1.0,4.0,0.0,407.0,7.0,457396872.944,2158691.47468,58262122.061,0.0,0.0,644608.710556,16446786.5331,710892.773173,0.0,477245462.272,32375272180.1,1932818675.47,23028953.0002,7.0
0,394127014.51,23708966.1285,9.50416079605e-08,2.42279596339e-29,0.0,2747635.06276,1370793.03049,3216350.05927,425872209.403,4630585.78814,73836831.2583,1.0,3308039.5699,1337638.42026,438955381.442,0.0,0.0,0.0,1.0,5.0,0.0,344.0,3.0,469478629.931,2874504.00994,76584466.321,0.0,0.0,91689.5106286,13083172.0385,1756081.7782,0.0,443659333.118,38599794821.0,2503371254.62,23708966.1285,8.0
